Book_Name,Description,Author,Rating,No_of_Ratings,Regular_Price,Language,Book_Audio_Length,Cover_IMG,Book_URL
A marca da vitória [Shoe Dog],A autobiografia do criador da Nike [The Autobiography of the Creator of Nike],Phil Knight,,Not rated yet,₹164.00,"['Language:', 'portuguese']",Length: 15 hrs and 17 mins,https://m.media-amazon.com/images/I/410MGr6TFKL._SL500_.jpg,https://www.audible.in/pd/A-marca-da-vitoria-Shoe-Dog-Audiobook/B09SGTYFBH
Network Marketing Sawal Aapke Jawab Surya Sinha Ke,,Surya Sinha,5 out of 5 stars,2 ratings,,"['Language:', 'Hindi']",Length: 3 hrs and 48 mins,https://m.media-amazon.com/images/I/51z7ib+5vmL._SL500_.jpg,https://www.audible.in/pd/Network-Marketing-Sawal-Aapke-Jawab-Surya-Sinha-Ke-Audiobook/B08VFBXLFX
How to Be a Power Connector,The 5+50+100 Rule for Turning Your Business Network into Profits,Judy Robinett,4 out of 5 stars,9 ratings,₹668.00,"['Language:', 'English']",Length: 8 hrs and 7 mins,https://m.media-amazon.com/images/I/51oG5ch2giL._SL500_.jpg,https://www.audible.in/pd/How-to-Be-a-Power-Connector-Audiobook/B01MRZSQQZ
The Learning Factory,How the Leaders of Tata Became Nation Builders,Arun Maira,,Not rated yet,₹879.00,"['Language:', 'English']",Length: 5 hrs and 29 mins,https://m.media-amazon.com/images/I/41sXbByLA0L._SL500_.jpg,https://www.audible.in/pd/The-Learning-Factory-Audiobook/B09RKP4PX6
The Contrarian,Peter Thiel and Silicon Valley's Pursuit of Power,Max Chafkin,3 out of 5 stars,4 ratings,"₹1,480.00","['Language:', 'English']",Length: 12 hrs and 33 mins,https://m.media-amazon.com/images/I/51A8py0PhjL._SL500_.jpg,https://www.audible.in/pd/The-Contrarian-Audiobook/B09GG7TQK3
Lean UX,Designing Great Products with Agile Teams,Jeff Gothelf,,Not rated yet,"₹1,340.00","['Language:', 'English']",Length: 6 hrs and 11 mins,https://m.media-amazon.com/images/I/414-j-WyjcL._SL500_.jpg,https://www.audible.in/pd/Lean-UX-Audiobook/B09TD3S5TW
The New Manager’s Survival Guide,Everything You Need to Know to Succeed in the Corporate World,Steven Haines,,Not rated yet,₹586.00,"['Language:', 'English']",Length: 8 hrs and 43 mins,https://m.media-amazon.com/images/I/41HX3m9kSXL._SL500_.jpg,https://www.audible.in/pd/The-New-Managers-Survival-Guide-Audiobook/1638417393
Never Enough,"A Navy SEAL Commander on Living a Life of Excellence, Agility, and Meaning",Mike Hayes,5 out of 5 stars,6 ratings,₹134.00,"['Language:', 'English']",Length: 6 hrs and 57 mins,https://m.media-amazon.com/images/I/613ut7EmQqL._SL500_.jpg,https://www.audible.in/pd/Never-Enough-Audiobook/125080292X
Neuroscience for Leadership,Harnessing the Brain Gain Advantage,Tara Swart,,Not rated yet,₹773.00,"['Language:', 'English']",Length: 7 hrs and 39 mins,https://m.media-amazon.com/images/I/61G1JKrvEPL._SL500_.jpg,https://www.audible.in/pd/Neuroscience-for-Leadership-Audiobook/1799917398
"Organizational Culture and Leadership, Fifth Edition",,Edgar H. Schein,5 out of 5 stars,2 ratings,₹836.00,"['Language:', 'English']",Length: 12 hrs and 34 mins,https://m.media-amazon.com/images/I/51Xo7jJf2FL._SL500_.jpg,https://www.audible.in/pd/Organizational-Culture-and-Leadership-Fifth-Edition-Audiobook/B06Y3SCV4X
NeuroWisdom,"The New Brain Science of Money, Happiness, and Success",Mark Robert Waldman,5 out of 5 stars,1 rating,₹773.00,"['Language:', 'English']",Length: 7 hrs and 47 mins,https://m.media-amazon.com/images/I/510qu7LTvVL._SL500_.jpg,https://www.audible.in/pd/NeuroWisdom-Audiobook/B01N6RZ0M3
30 Days to a More Powerful Business Vocabulary,The 500 Words You Need to Transform Your Career and Your Life,Dan Strutzel,5 out of 5 stars,2 ratings,₹469.00,"['Language:', 'English']",Length: 5 hrs and 16 mins,https://m.media-amazon.com/images/I/51+2VGGZ6PL._SL500_.jpg,https://www.audible.in/pd/30-Days-to-a-More-Powerful-Business-Vocabulary-Audiobook/1663710414
The Gladiator Mindset,Push Your Limits. Overcome Challenges. Achieve Your Goals.,Adam Peaty,5 out of 5 stars,3 ratings,₹759.00,"['Language:', 'English']",Length: 4 hrs and 54 mins,https://m.media-amazon.com/images/I/510aK9euhKL._SL500_.jpg,https://www.audible.in/pd/The-Gladiator-Mindset-Audiobook/B09DGVCSPN
The Future of Work,"Attract New Talent, Build Better Leaders, and Create a Competitive Organization",Jacob Morgan,,Not rated yet,₹668.00,"['Language:', 'English']",Length: 7 hrs and 38 mins,https://m.media-amazon.com/images/I/41+H3FcitsL._SL500_.jpg,https://www.audible.in/pd/The-Future-of-Work-Audiobook/B08DHPWL1Y
Pick Up the Phone and Sell,How Proactive Calls to Customers and Prospects Can Double Your Sales,Alex Goldfayn,,Not rated yet,₹703.00,"['Language:', 'English']",Length: 4 hrs and 30 mins,https://m.media-amazon.com/images/I/41l+HyeKq-L._SL500_.jpg,https://www.audible.in/pd/Pick-Up-the-Phone-and-Sell-Audiobook/B09FFHWM11
Crypto Economy,"How Blockchain, Cryptocurrency, and Token-Economy Are Disrupting the Financial World",Aries Wang,4 out of 5 stars,1 rating,₹422.00,"['Language:', 'English']",Length: 3 hrs and 45 mins,https://m.media-amazon.com/images/I/61v74r4HKbL._SL500_.jpg,https://www.audible.in/pd/Crypto-Economy-Audiobook/1094424986
The Execution Premium,Linking Strategy to Operations for Competitive Advantage,Robert S. Kaplan,,Not rated yet,₹703.00,"['Language:', 'English']",Length: 10 hrs and 5 mins,https://m.media-amazon.com/images/I/51N+F0YGiVL._SL500_.jpg,https://www.audible.in/pd/The-Execution-Premium-Audiobook/B09NS43CFW
心理的安全性のつくりかた,,石井 遼介,,Not rated yet,₹837.00,"['Language:', 'japanese']",Length: 5 hrs and 59 mins,https://m.media-amazon.com/images/I/51-fTaSSlGL._SL500_.jpg,https://www.audible.in/pd/Audiobook/B09MS1YCTX
The Little Book of Currency Trading,How to Make Big Profits in the World of Forex,Kathy Lien,4 out of 5 stars,4 ratings,₹703.00,"['Language:', 'English']",Length: 4 hrs and 33 mins,https://m.media-amazon.com/images/I/51KXVdg7-UL._SL500_.jpg,https://www.audible.in/pd/The-Little-Book-of-Currency-Trading-Audiobook/B01MU320BM
No B.S. Guide to Direct Response Social Media Marketing (2nd Edition),No B.S. Series,Dan S. Kennedy,5 out of 5 stars,4 ratings,₹586.00,"['Language:', 'English']",Length: 7 hrs and 31 mins,https://m.media-amazon.com/images/I/51Kh9gew5WL._SL500_.jpg,https://www.audible.in/pd/No-BS-Guide-to-Direct-Response-Social-Media-Marketing-2nd-Edition-Audiobook/1469081202
Promote Yourself and Me 2.0,,Dan Schawbel,5 out of 5 stars,1 rating,"₹1,008.00","['Language:', 'English']",Length: 16 hrs and 17 mins,https://m.media-amazon.com/images/I/51DdMg-qhQL._SL500_.jpg,https://www.audible.in/pd/Promote-Yourself-and-Me-20-Audiobook/B07BN54D3N
Playing Big,,Tara Mohr,5 out of 5 stars,7 ratings,₹683.00,"['Language:', 'English']",Length: 8 hrs and 26 mins,https://m.media-amazon.com/images/I/51qKJVCIdoL._SL500_.jpg,https://www.audible.in/pd/Playing-Big-Audiobook/B079WYBS9Z
How Business Works,The Facts Explained,DK,,Not rated yet,₹888.00,"['Language:', 'English']",Length: 11 hrs and 44 mins,https://m.media-amazon.com/images/I/51DCf5W66kL._SL500_.jpg,https://www.audible.in/pd/How-Business-Works-Audiobook/B09MJJGJLS
HBR's 10 Must Reads on Platforms and Ecosystems,,Harvard Business Review,4.5 out of 5 stars,6 ratings,₹586.00,"['Language:', 'English']",Length: 5 hrs and 34 mins,https://m.media-amazon.com/images/I/41z2n0NPaxL._SL500_.jpg,https://www.audible.in/pd/HBRs-10-Must-Reads-on-Platforms-and-Ecosystems-Audiobook/1469082918
Unlearn,Let Go of Past Success to Achieve Extraordinary Results,Barry O'Reilly,,Not rated yet,₹586.00,"['Language:', 'English']",Length: 7 hrs and 13 mins,https://m.media-amazon.com/images/I/51WOLT-AakL._SL500_.jpg,https://www.audible.in/pd/Unlearn-Audiobook/163841937X
"Sun Tzu 4 Small Business | Strategy and Tactics, Technology and Leadership, Management and Marketing for Small Business Owners",,,,Not rated yet,,,,https://m.media-amazon.com/images/I/41l+A9lBwNL._SL500_.jpg,https://www.audible.in/pd/Sun-Tzu-4-Small-Business-Strategy-and-Tactics-Technology-and-Leadership-Management-and-Marketing-for-Small-Business-Owners-Podcast/B08JKKTFLH
Road to Flourishing,Eight Keys to Boost Employee Engagement and Well-Being,Al Lopus,,Not rated yet,₹586.00,"['Language:', 'English']",Length: 6 hrs and 52 mins,https://m.media-amazon.com/images/I/51oW1VLK1nL._SL500_.jpg,https://www.audible.in/pd/Road-to-Flourishing-Audiobook/B09VRM82HH
"The Attractor Factor, 2nd Edition",5 Easy Steps to Create Wealth (or Anything Else) from the Inside Out,Joe Vitale,,Not rated yet,₹653.00,"['Language:', 'English']",Length: 6 hrs and 42 mins,https://m.media-amazon.com/images/I/51CFp69whBL._SL500_.jpg,https://www.audible.in/pd/The-Attractor-Factor-2nd-Edition-Audiobook/B01MRZSPGH
Extreme Economies,"Survival, Failure, Future - Lessons from the World’s Limits",Richard Davies,4.5 out of 5 stars,31 ratings,₹888.00,"['Language:', 'English']",Length: 11 hrs and 59 mins,https://m.media-amazon.com/images/I/61AcUX9jucL._SL500_.jpg,https://www.audible.in/pd/Extreme-Economies-Audiobook/1473570387
The Public Relations Handbook,,Robert L. Dilenschneider,,Not rated yet,₹586.00,"['Language:', 'English']",Length: 10 hrs and 22 mins,https://m.media-amazon.com/images/I/41hs115LZPL._SL500_.jpg,https://www.audible.in/pd/The-Public-Relations-Handbook-Audiobook/B09RR1ZKD9
"Executive Presence, Second Edition",The Art of Commanding Respect Like a CEO,Harrison Monarth,,Not rated yet,₹586.00,"['Language:', 'English']",Length: 8 hrs and 56 mins,https://m.media-amazon.com/images/I/41NeUdZ4gnL._SL500_.jpg,https://www.audible.in/pd/Executive-Presence-Second-Edition-Audiobook/1639298835
HBR Guide to Crafting Your Purpose,HBR Guide Series,John Coleman,,Not rated yet,₹586.00,"['Language:', 'English']",Length: 5 hrs and 8 mins,https://m.media-amazon.com/images/I/51bw3sftUfL._SL500_.jpg,https://www.audible.in/pd/HBR-Guide-to-Crafting-Your-Purpose-Audiobook/B09NQRCV2M
Think Again - Die Kraft des flexiblen Denkens,"Was wir gewinnen, wenn wir unsere Pläne umschmeißen",Adam Grant,,Not rated yet,₹703.00,"['Language:', 'german']",Length: 8 hrs and 8 mins,https://m.media-amazon.com/images/I/416b7hgxQiL._SL500_.jpg,https://www.audible.in/pd/Think-Again-Die-Kraft-des-flexiblen-Denkens-Audiobook/B09P1N5728
On Writing Well: Audio Collection,,William Zinsser,4.5 out of 5 stars,23 ratings,₹506.00,"['Language:', 'English']",Length: 2 hrs and 23 mins,https://m.media-amazon.com/images/I/41MCwOQeaFL._SL500_.jpg,https://www.audible.in/pd/On-Writing-Well-Audio-Collection-Audiobook/B079TNKKW7
Selling the Invisible,A Field Guide to Modern Marketing,Harry Beckwith,4.5 out of 5 stars,13 ratings,₹500.00,"['Language:', 'English']",Length: 1 hr and 36 mins,https://m.media-amazon.com/images/I/41l2adQ3UbL._SL500_.jpg,https://www.audible.in/pd/Selling-the-Invisible-Audiobook/B079TMJ621
"How To Sell, Sell, Sell, and Smash Targets Every Month",,Mike Le Put,5 out of 5 stars,3 ratings,₹512.00,"['Language:', 'English']",Length: 5 hrs and 11 mins,https://m.media-amazon.com/images/I/5180PgNMvQL._SL500_.jpg,https://www.audible.in/pd/How-To-Sell-Sell-Sell-and-Smash-Targets-Every-Month-Audiobook/B07B6QZ4JT
Xiaomi,How a Startup Disrupted the Market and Created a Cult Following,Jayadevan P.k.,,Not rated yet,"₹1,181.00","['Language:', 'English']",Length: 6 hrs and 25 mins,https://m.media-amazon.com/images/I/51XDqm0LOvL._SL500_.jpg,https://www.audible.in/pd/Xiaomi-Audiobook/B09FBKTS5W
Boundless Leadership,"The Breakthrough Method to Realize Your Vision, Empower Others, and Ignite Positive Change",Joe Loizzo,,Not rated yet,₹703.00,"['Language:', 'English']",Length: 9 hrs and 54 mins,https://m.media-amazon.com/images/I/41Y4MibAq-L._SL500_.jpg,https://www.audible.in/pd/Boundless-Leadership-Audiobook/B09MZSJLXP
Ambitious Like a Mother,Why Prioritizing Your Career Is Good for Your Kids,Lara Bazelon,,Not rated yet,₹500.00,"['Language:', 'English']",Length: 8 hrs and 21 mins,https://m.media-amazon.com/images/I/51pU5HyfAAL._SL500_.jpg,https://www.audible.in/pd/Ambitious-Like-a-Mother-Audiobook/B09S26DN1G
You Coach You,How to Overcome Challenges at Work and Take Control of Your Career,Helen Tupper,,Not rated yet,₹888.00,"['Language:', 'English']",Length: 6 hrs and 19 mins,https://m.media-amazon.com/images/I/41cSXLRyfZS._SL500_.jpg,https://www.audible.in/pd/You-Coach-You-Audiobook/0241554853
Brand Activism,From Purpose to Action,Christian Sarkar,,Not rated yet,₹879.00,"['Language:', 'English']",Length: 9 hrs and 25 mins,https://m.media-amazon.com/images/I/519RzwxUX0L._SL500_.jpg,https://www.audible.in/pd/Brand-Activism-Audiobook/B09M96J9C8
Eat that Frog - Young Generation (German edition),"22 Wege, wie du in Schule, Studium und Ausbildung mehr erreichst",Brian Tracy,,Not rated yet,₹535.00,"['Language:', 'german']",Length: 3 hrs and 54 mins,https://m.media-amazon.com/images/I/51c16fuf4xL._SL500_.jpg,https://www.audible.in/pd/Eat-that-Frog-Young-Generation-German-edition-Audiobook/B09DNY9KLC
Kindness Starts With Why,,,,Not rated yet,,,,https://m.media-amazon.com/images/I/41nqmXdBMOS._SL500_.jpg,https://www.audible.in/pd/Podcast/B08JKLKMP3
The Miracle Morning for Entrepreneurs,Elevate Yourself to Elevate Your Business,Hal Elrod,5 out of 5 stars,4 ratings,₹668.00,"['Language:', 'English']",Length: 7 hrs and 26 mins,https://m.media-amazon.com/images/I/51hzh-0UBmL._SL500_.jpg,https://www.audible.in/pd/The-Miracle-Morning-for-Entrepreneurs-Audiobook/B076ZVRRXH
Powerful: Building a Culture of Freedom and Responsibility,,Patty McCord,4.5 out of 5 stars,30 ratings,₹501.00,"['Language:', 'English']",Length: 4 hrs and 21 mins,https://m.media-amazon.com/images/I/513kiui3KcL._SL500_.jpg,https://www.audible.in/pd/Powerful-Building-a-Culture-of-Freedom-and-Responsibility-Audiobook/B0787DKSKZ
The Positive Side of the Street,,Napoleon Hill,,Not rated yet,₹469.00,"['Language:', 'English']",Length: 4 hrs and 5 mins,https://m.media-amazon.com/images/I/414dIDCLs2L._SL500_.jpg,https://www.audible.in/pd/The-Positive-Side-of-the-Street-Audiobook/B09P8X5T22
The Pumpkin Plan,A Simple Strategy to Grow a Remarkable Business in Any Field,Mike Michalowicz,5 out of 5 stars,2 ratings,₹879.00,"['Language:', 'English']",Length: 7 hrs and 7 mins,https://m.media-amazon.com/images/I/41Ez2sTcySL._SL500_.jpg,https://www.audible.in/pd/The-Pumpkin-Plan-Audiobook/B082FPXS8T
Aatmvishwas Ki Poonji,,Swett Marden,4.5 out of 5 stars,2 ratings,,"['Language:', 'Hindi']",Length: 5 hrs and 27 mins,https://m.media-amazon.com/images/I/51MhFjqcD2L._SL500_.jpg,https://www.audible.in/pd/Aatmvishwas-Ki-Poonji-Audiobook/B08VF787DC
"Dealing with People You Can’t Stand, Revised and Expanded (Third Edition)",How to Bring Out the Best in People at Their Worst,Rick Brinkman,,Not rated yet,₹703.00,"['Language:', 'English']",Length: 11 hrs and 4 mins,https://m.media-amazon.com/images/I/51JqJqEiXZL._SL500_.jpg,https://www.audible.in/pd/Dealing-with-People-You-Cant-Stand-Revised-and-Expanded-Third-Edition-Audiobook/1639298398
21 Great Ways to Become an Outstanding Manager,,Brian Tracy,5 out of 5 stars,9 ratings,₹468.00,"['Language:', 'English']",Length: 57 mins,https://m.media-amazon.com/images/I/51ob1FM+bSL._SL500_.jpg,https://www.audible.in/pd/21-Great-Ways-to-Become-an-Outstanding-Manager-Audiobook/B01N2W7Q46
Scrum [Scrum],A arte de fazer o dobro do trabalho na metade do tempo [The Art of Doing Twice the Work in Half the Time],Jeff Sutherland,,Not rated yet,₹164.00,"['Language:', 'portuguese']",Length: 8 hrs and 19 mins,https://m.media-amazon.com/images/I/411myQUu3nL._SL500_.jpg,https://www.audible.in/pd/Scrum-Scrum-Audiobook/B09SGTN8BQ
Toyota Talent,Developing Your People the Toyota Way,Jeffrey K. Liker,,Not rated yet,₹703.00,"['Language:', 'English']",Length: 10 hrs and 6 mins,https://m.media-amazon.com/images/I/51MVc0R2+wL._SL500_.jpg,https://www.audible.in/pd/Toyota-Talent-Audiobook/1638419132
Surrounded by Bad Bosses and Lazy Employees,"Or, How to Deal with Idiots at Work",Thomas Erikson,,Not rated yet,₹888.00,"['Language:', 'English']",Length: 12 hrs and 58 mins,https://m.media-amazon.com/images/I/41Kfmoy4iYL._SL500_.jpg,https://www.audible.in/pd/Surrounded-by-Bad-Bosses-and-Lazy-Employees-Audiobook/1473582466
Conscious Business,,Fred Kofman,5 out of 5 stars,2 ratings,₹585.00,"['Language:', 'English']",Length: 3 hrs and 54 mins,https://m.media-amazon.com/images/I/51MB0Oh40kL._SL500_.jpg,https://www.audible.in/pd/Conscious-Business-Audiobook/B079CNHC19
Compassionate Leadership,How to Do Hard Things in a Human Way,Rasmus Hougaard,,Not rated yet,₹586.00,"['Language:', 'English']",Length: 6 hrs and 59 mins,https://m.media-amazon.com/images/I/41hHcBCD5pL._SL500_.jpg,https://www.audible.in/pd/Compassionate-Leadership-Audiobook/B09SRG4ZTM
Artificial Intelligence: 101 Things You Must Know Today About Our Future,,Lasse Rouhiainen,4.5 out of 5 stars,14 ratings,₹622.00,"['Language:', 'English']",Length: 8 hrs and 17 mins,https://m.media-amazon.com/images/I/51HZkuVj3BL._SL500_.jpg,https://www.audible.in/pd/Artificial-Intelligence-101-Things-You-Must-Know-Today-About-Our-Future-Audiobook/B07MKZ9FKL
Discover Your True North,Expanded and Updated Edition,Bill George,4 out of 5 stars,9 ratings,₹836.00,"['Language:', 'English']",Length: 10 hrs and 3 mins,https://m.media-amazon.com/images/I/513g1qyzzCL._SL500_.jpg,https://www.audible.in/pd/Discover-Your-True-North-Audiobook/B07CR27YZR
Sell with a Story,"How to Capture Attention, Build Trust, and Close the Sale",Paul Smith,4.5 out of 5 stars,3 ratings,₹836.00,"['Language:', 'English']",Length: 7 hrs and 59 mins,https://m.media-amazon.com/images/I/51nTszqC0sL._SL500_.jpg,https://www.audible.in/pd/Sell-with-a-Story-Audiobook/B079BFP6YD
The Real Business of Blockchain,How Leaders Can Create Value in a New Digital Age,David Furlonger,4.5 out of 5 stars,3 ratings,₹586.00,"['Language:', 'English']",Length: 7 hrs and 45 mins,https://m.media-amazon.com/images/I/51rG2vFasfL._SL500_.jpg,https://www.audible.in/pd/The-Real-Business-of-Blockchain-Audiobook/1469076233
Organizational Behaviour,"People, Process, Work and Human Resource Management",Raisa Arvinen-Muondo - editor,4.5 out of 5 stars,2 ratings,"₹1,005.00","['Language:', 'English']",Length: 11 hrs and 29 mins,https://m.media-amazon.com/images/I/51-qf1-+qQL._SL500_.jpg,https://www.audible.in/pd/Organizational-Behaviour-Audiobook/B07HB5DHQH
A Bit of Optimism,,,5 out of 5 stars,1 rating,,,,https://m.media-amazon.com/images/I/414dnjqLINS._SL500_.jpg,https://www.audible.in/pd/A-Bit-of-Optimism-Podcast/B08K5K9SVS
Getting Acquired,How I Built and Sold My SaaS Startup,Andrew Gazdecki,4 out of 5 stars,1 rating,₹351.00,"['Language:', 'English']",Length: 4 hrs and 53 mins,https://m.media-amazon.com/images/I/41suYhjFeJL._SL500_.jpg,https://www.audible.in/pd/Getting-Acquired-Audiobook/B09RM196P9
Team of Teams,New Rules of Engagement for a Complex World,General Stanley McChrystal,4.5 out of 5 stars,22 ratings,₹820.00,"['Language:', 'English']",Length: 12 hrs and 6 mins,https://m.media-amazon.com/images/I/51ZwFC8abCL._SL500_.jpg,https://www.audible.in/pd/Team-of-Teams-Audiobook/B07B2M2ZKH
The Truth About the Drug Companies,How They Deceive Us and What to Do About It,Marcia Angell,5 out of 5 stars,7 ratings,₹753.00,"['Language:', 'English']",Length: 7 hrs and 14 mins,https://m.media-amazon.com/images/I/51jfzMgnzdL._SL500_.jpg,https://www.audible.in/pd/The-Truth-About-the-Drug-Companies-Audiobook/B079RMDLD2
Periya Prachanai Chinna Theervu,,Sriram Sadhu,4 out of 5 stars,5 ratings,₹468.00,"['Language:', 'tamil']",Length: 4 hrs and 23 mins,https://m.media-amazon.com/images/I/41PLbqm2bAL._SL500_.jpg,https://www.audible.in/pd/Periya-Prachanai-Chinna-Theervu-Audiobook/B07FK4DZMX
The Psychology of Achievement,Classic,Brian Tracy,5 out of 5 stars,12 ratings,"₹1,439.00","['Language:', 'English']",Length: 6 hrs and 17 mins,https://m.media-amazon.com/images/I/614bVPP+jXL._SL500_.jpg,https://www.audible.in/pd/The-Psychology-of-Achievement-Audiobook/B079BBRKSV
PMP Exam Prep: Pass on Your First Attempt (Based on the PMBOK® Guide Sixth Edition),Plus: Audio Exclusive Content to Agile (Updated 2020 Edition),Rita Gladwell,,Not rated yet,₹836.00,"['Language:', 'English']",Length: 11 hrs and 28 mins,https://m.media-amazon.com/images/I/511NWpvVMFL._SL500_.jpg,https://www.audible.in/pd/PMP-Exam-Prep-Pass-on-Your-First-Attempt-Based-on-the-PMBOK-Guide-Sixth-Edition-Audiobook/B08C1GRSXX
Work Better Together,How to Cultivate Strong Relationships to Maximize Well-Being and Boost Bottom Lines,Jen Fisher,,Not rated yet,₹586.00,"['Language:', 'English']",Length: 6 hrs and 52 mins,https://m.media-amazon.com/images/I/41+XRbl1zJL._SL500_.jpg,https://www.audible.in/pd/Work-Better-Together-Audiobook/1638410968
Out of the Maze,A Simple Way to Change Your Thinking & Unlock Success,Dr Spencer Johnson,5 out of 5 stars,37 ratings,₹615.00,"['Language:', 'English']",Length: 1 hr and 22 mins,https://m.media-amazon.com/images/I/51q+KUxKuPL._SL500_.jpg,https://www.audible.in/pd/Out-of-the-Maze-Audiobook/B07JZR1ZPX
Out of the Maze,A Simple Way to Change Your Thinking & Unlock Success,Dr Spencer Johnson,5 out of 5 stars,37 ratings,₹615.00,"['Language:', 'English']",Length: 1 hr and 22 mins,https://m.media-amazon.com/images/I/51q+KUxKuPL._SL500_.jpg,https://www.audible.in/pd/Out-of-the-Maze-Audiobook/B07JZR1ZPX
The Secrets of Closing the Sale,Included Bonus: Selling with Emotional Logic,Zig Ziglar,4.5 out of 5 stars,6 ratings,₹586.00,"['Language:', 'English']",Length: 17 hrs and 1 min,https://m.media-amazon.com/images/I/610+TVSB4kL._SL500_.jpg,https://www.audible.in/pd/The-Secrets-of-Closing-the-Sale-Audiobook/B079CF4SJG
Calm Clarity,"How to Use Science to Rewire Your Brain for Greater Wisdom, Fulfillment, and Joy",Due Quach,4.5 out of 5 stars,3 ratings,"₹1,172.00","['Language:', 'English']",Length: 14 hrs and 1 min,https://m.media-amazon.com/images/I/41FAx43b4ML._SL500_.jpg,https://www.audible.in/pd/Calm-Clarity-Audiobook/B07C5RR325
How to Talk to Absolutely Anyone,Confident Communication in Every Situation,Mark Rhodes,,Not rated yet,₹565.00,"['Language:', 'English']",Length: 4 hrs and 27 mins,https://m.media-amazon.com/images/I/51lac93hqeL._SL500_.jpg,https://www.audible.in/pd/How-to-Talk-to-Absolutely-Anyone-Audiobook/1705260969
The Human Element,Overcoming the Resistance That Awaits New Ideas,Loran Nordgren,,Not rated yet,₹586.00,"['Language:', 'English']",Length: 7 hrs and 13 mins,https://m.media-amazon.com/images/I/41zcEhKf62L._SL500_.jpg,https://www.audible.in/pd/The-Human-Element-Audiobook/B09JJ11GKP
The Fast Forward MBA in Project Management (6th Edition),"The Comprehensive, Easy to Read Handbook for Beginners and Pros",Eric Verzuh,,Not rated yet,₹820.00,"['Language:', 'English']",Length: 19 hrs and 54 mins,https://m.media-amazon.com/images/I/51ABH+82Q9L._SL500_.jpg,https://www.audible.in/pd/The-Fast-Forward-MBA-in-Project-Management-6th-Edition-Audiobook/B09FCRSRLV
Friction Fatigue,What the Failure of Advertising Means for Future-Focused Brands,Paul Dyer,,Not rated yet,₹351.00,"['Language:', 'English']",Length: 6 hrs and 19 mins,https://m.media-amazon.com/images/I/51Ti+D6OvXL._SL500_.jpg,https://www.audible.in/pd/Friction-Fatigue-Audiobook/B09GL3VMMW
The Art of War for Women,Sun Tzu's Ancient Strategies and Wisdom for Winning at Work,Chin-Ning Chu,5 out of 5 stars,1 rating,₹586.00,"['Language:', 'English']",Length: 5 hrs and 54 mins,https://m.media-amazon.com/images/I/41eDrJkUh+L._SL500_.jpg,https://www.audible.in/pd/The-Art-of-War-for-Women-Audiobook/B079VRVS3M
The Raging 2020s,"Companies, Countries, People - And the Fight for Our Future",Alec Ross,4 out of 5 stars,2 ratings,₹888.00,"['Language:', 'English']",Length: 9 hrs and 23 mins,https://m.media-amazon.com/images/I/51QRzH7Z8GS._SL500_.jpg,https://www.audible.in/pd/The-Raging-2020s-Audiobook/1473598907
The 6-Minute Work Day,An Entrepreneur's Guide to Using the Power of Leverage to Create Abundance and Freedom,Douglas Vermeeren,,Not rated yet,₹586.00,"['Language:', 'English']",Length: 5 hrs and 32 mins,https://m.media-amazon.com/images/I/414gDVrvwqL._SL500_.jpg,https://www.audible.in/pd/The-6-Minute-Work-Day-Audiobook/B09P9T9MM1
CryptoDad,The Fight for the Future of Money,Christopher Giancarlo,,Not rated yet,₹586.00,"['Language:', 'English']",Length: 13 hrs and 7 mins,https://m.media-amazon.com/images/I/418lbrop3BL._SL500_.jpg,https://www.audible.in/pd/CryptoDad-Audiobook/B09NCTBNQQ
How to Be More Intentional with Time,,Laura Vanderkam,4.5 out of 5 stars,23 ratings,₹233.00,"['Language:', 'English']",Length: 33 mins,https://m.media-amazon.com/images/I/51GW0mcT+nL._SL500_.jpg,https://www.audible.in/pd/How-to-Be-More-Intentional-with-Time-Audiobook/B084MPF3QD
Building Corporate Soul,Powering Culture & Success with the Soul System,Ralf Specht,,Not rated yet,₹586.00,"['Language:', 'English']",Length: 7 hrs and 6 mins,https://m.media-amazon.com/images/I/41BzEd93aIL._SL500_.jpg,https://www.audible.in/pd/Building-Corporate-Soul-Audiobook/B09P9P9PHG
The Eyeopener Series,,,,Not rated yet,,,,https://m.media-amazon.com/images/I/51vIbnzeu6L._SL500_.jpg,https://www.audible.in/pd/The-Eyeopener-Series-Podcast/B09F1YHS1F
Disrupt Yourself,,Jay Samit,5 out of 5 stars,3 ratings,₹323.00,"['Language:', 'English']",Length: 8 hrs and 46 mins,https://m.media-amazon.com/images/I/51MHlrmCLoL._SL500_.jpg,https://www.audible.in/pd/Disrupt-Yourself-Audiobook/B07B8F2VWZ
What Got You Here Won't Get You There in Sales,How Successful Salespeople Take It to the Next Level,Marshall Goldsmith,,Not rated yet,₹586.00,"['Language:', 'English']",Length: 5 hrs and 5 mins,https://m.media-amazon.com/images/I/51F54hd1+aL._SL500_.jpg,https://www.audible.in/pd/What-Got-You-Here-Wont-Get-You-There-in-Sales-Audiobook/B09C6HN4VT
Matchmakers,The New Economics of Multisided Platforms,Richard Schmalensee,4.5 out of 5 stars,7 ratings,₹668.00,"['Language:', 'English']",Length: 6 hrs and 53 mins,https://m.media-amazon.com/images/I/41ZV6A5xU2L._SL500_.jpg,https://www.audible.in/pd/Matchmakers-Audiobook/B079DGZMB5
